Cartographie interactive du SDES; ; 
Référentiel géographique : France par EPCI 2024; ; 
Code;Libellé;Ensemble des surfaces protegées: au moins une mesure de protection 2019
200067205;Communauté d'agglomération du Cotentin;24740.34
200067213;Communauté urbaine du Grand Reims;27008.27
200067239;Communauté de communes des Luys en Béarn;113.37
200067247;Communauté de communes Pleyben-Châteaulin-Porzay;18867.5
200067254;Communauté d'agglomération Pau Béarn Pyrénées;3457.46
200067262;Communauté de communes du Haut Béarn;58226.94
200067288;Communauté de communes du Béarn des Gaves;4025.26
200067296;Communauté de communes du Nord Est Béarn;194.57
200067304;Communauté de communes Serein et Armance;54.23
200067320;Communauté de communes Serre-Ponçon Val d'Avance;7089.55
200067346;Communauté d'agglomération Pornic Agglo Pays de Retz;5532.45
200067361;Communauté de communes Grand-Figeac;69047.47
200067379;Communauté de communes Côtes de Champagne et Val de Saulx;28007.58
200067429;Communauté de communes Haut Nivernais-Val d'Yonne;532.09
200067437;Communauté d'agglomération Provence-Alpes-Agglomération;126339.8
200067445;Communauté de communes Buëch-Dévoluy;35086.27
200067452;Communauté de communes du Guillestrois et du Queyras;72090.01
200067460;Communauté de communes Loudéac Communauté - Bretagne Centre;518.21
200067478;Communauté de communes Comtal Lot et Truyère;20781.25
200067486;Communauté de communes Bouzonvillois-Trois 99ontières;1182.67
200067502;Communauté d'agglomération Saint-Avold Synergie;2727.55
200067544;Creuse Confluence;1960.41
200067551;Communauté d'agglomération Thonon Agglomération;23874.64
200067593;Communauté de communes Marche et Combraille en Aquitaine;17785.22
200067627;Communauté de communes Billom Communauté;21304.35
200067635;Communauté d'agglomération Clisson Sèvre et Maine Agglo;639.21
200067643;Communauté de communes Meurthe Mortagne Moselle;422.86
200067650;Communauté de communes Houve-Pays Boulageois;878.02
200067668;Communauté de communes de la Cléry, du Betz et de l'Ouanne;189.32
200067676;Communauté de communes Canaux et Forêts en Gâtinais;5177.89
200067684;Communauté d'agglomération Épernay, Coteaux et Plaine de Champagne;1440.03
200067692;Communauté de communes Tannay-Brinon-Corbigny;18521.51
200067700;Communauté de communes Sud Nivernais;19243.44
200067742;Communauté de communes Serre-Ponçon;36717.81
200067759;Communauté de communes Vallées et Plateau d'Ardenne;39894.47
200067767;Communauté de communes du Royans-Vercors;47713.23
200067783;Communauté de communes de Hanau-La Petite Pierre;27138.61
200067791;Communauté d'agglomération L'agglo Foix-Varilhes;22471.19
200067817;Communauté de communes Saône-Beaujolais;53815.56
200067825;Communauté d'agglomération Gap-Tallard-Durance;15529.44
200067841;Communauté de communes de l'Alsace Bossue;11337.01
200067866;Communauté de communes Sèvre et Loire;1434.62
200067874;Communauté d'agglomération de Haguenau;14271.87
200067882;Communauté de communes Bazois Loire Morvan;56943.69
200067890;Communauté de communes Morvan Sommets et Grands Lacs;96087.33
200067908;Communauté de communes Amognes Cœur du Nivernais;17157.59
200067916;Communauté de communes Cœur de Loire;3257.89
200067924;Communauté de communes du Canton d'Erstein;6382.73
200067932;Communauté d'agglomération Golfe du Morbihan - Vannes Agglomération;48722.18
200067940;Communauté de communes Couserans-Pyrénées;163529.14
200067957;Communauté de communes Haut Chemin-Pays de Pange;3.81
200067965;Communauté d'agglomération de la Région de Compiègne et de la Basse Automne;12543.55
200067973;Communauté de communes Thelloise;1457.56
200067981;Communauté d'agglomération Guingamp-Paimpol Agglomération de l'Armor à l'Argoat;4722.92
200067999;Communauté d'agglomération du Beauvaisis;2054.96
200068005;Communauté de communes de l'Oise Picarde;341.09
200068047;Communauté d'agglomération Creil Sud Oise;1540.8
200068070;Communauté de communes Loue-Lison;24537.86
200068088;Communauté de communes Les Bertranges;1005.64
200068096;Communauté de communes Champsaur-Valgaudemar;63059.45
200068104;Communauté d'agglomération de la Provence Verte;46202.4
200068112;Communauté de communes du Pays de Saverne;3023.33
200068120;Communauté d'agglomération Quimper Bretagne Occidentale;73.29
200068146;Communauté de communes Sarrebourg Moselle Sud;24501.62
200068229;Communauté de communes des Baronnies en Drôme Provençale;74782.62
200068278;Communauté de communes Berry Loire Puisaye;2213.14
200068294;Communauté de communes des Deux Vallées Vertes;32.25
200068369;Communauté de communes de Mirecourt Dompaire;0.01
200068377;Communauté de communes de la Porte des Vosges Méridionales;13895.66
200068435;Communauté de communes Cœur du Perche;39034.02
200068443;Communauté de communes Andaine - Passais;33813.35
200068450;Communauté de communes Terres d'Argentan Interco;17646.87
200068468;Communauté de communes des Pays de L'Aigle;3464.71
200068484;Communauté de communes des Causses à l'Aubrac;54139.32
200068500;Communauté d'agglomération de Cambrai;59.91
200068534;Communauté de communes Terroir de Caux;97.84
200068542;Communauté de communes Les Balcons du Dauphiné;13795.2
200068559;Communauté de communes de l'Ouest Vosgien;3051.85
200068567;Communauté de communes Les Vals du Dauphiné;134.21
200068625;Communauté de communes Alpes-Provence-Verdon - Sources de Lumière;100960.08
200068641;Communauté d'agglomération Le Muretain Agglo;1196.46
200068658;Communauté d'agglomération de Chaumont;10102.49
200068666;Communauté d'agglomération de Saint-Dizier Der et Blaise;68987.9
200068674;Communauté d'agglomération Grand Lac;12031.92
200068682;Communauté de communes Terre d'Eau;4908.69
200068757;Communauté d'agglomération d'Épinal;1569.79
200068765;Communauté de communes du Sisteronais-Buëch;121160.46
200068773;Communauté de communes des Vosges côté Sud Ouest;14784.22
200068781;Communauté d'agglomération Valence Romans Agglo;5362.86
200068799;Communauté de communes Intercom de la Vire au Noireau;8822.61
200068807;Communauté de communes du Bassin Auterivain Haut-Garonnais;235.69
200068815;Communauté de communes Cœur de Garonne;937.55
200068831;Communauté de communes Pays Ségali Communauté;2817.57
200068856;Communauté de communes des Hauts du Perche;28914.28
200068864;Communauté de communes de la Mossig et du Vignoble;2922.57
